DISCLAIMER,AnimalModuleReporter.report_herd_statistics_data.simulation_day (day),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_0_CALF.202 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_0_CALF.216 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_0_CALF.dry_matter_intake_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_0_CALF.byproducts_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.50 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.110 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.95 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.104 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.44 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.301 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.302 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.dry_matter_intake_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_1_GROWING.byproducts_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.50 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.110 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.95 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.104 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.44 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.301 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.302 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.dry_matter_intake_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_2_CLOSE_UP.byproducts_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.44 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.51 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.66 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.110 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.167 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.301 (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.dry_matter_intake_total (kg),AnimalModuleReporter.report_daily_ration_per_pen.ration_daily_feed_totals_for_pen_3_LAC_COW.byproducts_total (kg)
,1789,52.5,52.5,105.0,0.0,1087.7536198726011,940.7405525369751,384.70207766293413,384.70207766293413,137.35527459094996,98.0087115570841,544.0556579500909,3577.3179718335696,544.0556579500903,378.99814169240585,169.03987912652434,156.7979037532741,156.7979037532741,22.69516895680188,22.69516895680188,210.85265346073078,1117.876819699813,210.85265346073066,648.427965,6253.50084,1089.7189349999999,2810.97957,531.14631,688.95474,12022.72836,1620.8652449999886
,1790,54.0,54.0,108.0,0.0,1084.256019808702,937.7156633005218,383.46509349038445,383.46509349038445,136.91361775946783,97.6935710054536,542.3062828441421,3565.815341699056,542.3062828441415,378.99814169240585,169.03987912652434,156.7979037532741,156.7979037532741,22.69516895680188,22.69516895680188,210.85265346073078,1117.876819699813,210.85265346073066,651.4092430000001,6282.252568,1094.7291369999998,2823.9036140000003,533.588362,692.122348,12078.005272000002,1628.3174989999884
,1791,54.0,54.0,108.0,0.0,1087.7536198726011,940.7405525369751,384.70207766293413,384.70207766293413,137.35527459094996,98.0087115570841,544.0556579500909,3577.3179718335696,544.0556579500903,373.3414530104297,166.51689585597921,154.45763653307597,154.45763653307597,22.356435091774987,22.356435091774987,207.70559893146614,1101.192091047577,207.70559893146603,649.9186040000001,6267.876704,1092.2240359999998,2817.441592,532.367336,690.538544,12050.366815999998,1624.5913719999885
,1792,55.5,55.5,111.0,0.0,1091.2512199365,943.7654417734284,385.93906183548376,385.93906183548376,137.79693142243212,98.32385210871459,545.8050330560397,3588.820601968082,545.8050330560392,356.371386964501,158.9479460443438,147.43683487248163,147.43683487248163,21.340233496694307,21.340233496694307,198.26443534367223,1051.137905090869,198.26443534367212,654.390521,6311.004296,1099.739339,2836.827658,536.030414,695.289956,12133.282184000002,1635.7697529999882
,1793,55.5,55.5,111.0,0.0,1084.256019808702,937.7156633005218,383.46509349038445,383.46509349038445,136.91361775946783,97.6935710054536,542.3062828441421,3565.815341699056,542.3062828441415,356.371386964501,158.9479460443438,147.43683487248163,147.43683487248163,21.340233496694307,21.340233496694307,198.26443534367223,1051.137905090869,198.26443534367212,655.88116,6325.38016,1102.24444,2843.28968,537.25144,696.87376,12160.92064,1639.4958799999881
,1794,57.0,57.0,114.0,0.0,1084.256019808702,937.7156633005218,383.46509349038445,383.46509349038445,136.91361775946783,97.6935710054536,542.3062828441421,3565.815341699056,542.3062828441415,362.02807564647725,161.47092931488893,149.77710209267974,149.77710209267974,21.6789673617212,21.6789673617212,201.41148987293687,1067.8226337431051,201.41148987293676,651.4092430000001,6282.252568,1094.7291369999998,2823.9036140000003,533.588362,692.122348,12078.005272000002,1628.3174989999884
,1795,55.5,55.5,111.0,0.0,1087.7536198726011,940.7405525369751,384.70207766293413,384.70207766293413,137.35527459094996,98.0087115570841,544.0556579500909,3577.3179718335696,544.0556579500903,367.68476432845347,163.99391258543406,152.11736931287786,152.11736931287786,22.01770122674809,22.01770122674809,204.5585444022015,1084.5073623953408,204.5585444022014,649.9186040000001,6267.876704,1092.2240359999998,2817.441592,532.367336,690.538544,12050.366815999998,1624.5913719999885
,1796,54.0,54.0,108.0,0.0,1091.2512199365,943.7654417734284,385.93906183548376,385.93906183548376,137.79693142243212,98.32385210871459,545.8050330560397,3588.820601968082,545.8050330560392,367.68476432845347,163.99391258543406,152.11736931287786,152.11736931287786,22.01770122674809,22.01770122674809,204.5585444022015,1084.5073623953408,204.5585444022014,648.427965,6253.50084,1089.7189349999999,2810.97957,531.14631,688.95474,12022.72836,1620.8652449999886
,1797,52.5,52.5,105.0,0.0,1091.2512199365,943.7654417734284,385.93906183548376,385.93906183548376,137.79693142243212,98.32385210871459,545.8050330560397,3588.820601968082,545.8050330560392,373.3414530104297,166.51689585597921,154.45763653307597,154.45763653307597,22.356435091774987,22.356435091774987,207.70559893146614,1101.192091047577,207.70559893146603,648.427965,6253.50084,1089.7189349999999,2810.97957,531.14631,688.95474,12022.72836,1620.8652449999886
,1798,54.0,54.0,108.0,0.0,1084.256019808702,937.7156633005218,383.46509349038445,383.46509349038445,136.91361775946783,97.6935710054536,542.3062828441421,3565.815341699056,542.3062828441415,373.3414530104297,166.51689585597921,154.45763653307597,154.45763653307597,22.356435091774987,22.356435091774987,207.70559893146614,1101.192091047577,207.70559893146603,651.4092430000001,6282.252568,1094.7291369999998,2823.9036140000003,533.588362,692.122348,12078.005272000002,1628.3174989999884
