properties_group,name,type,description,pattern,default,maximum,minimum
animal_properties,animal_config_from_literature_preg_loss_rate_3,number,"Pregnancy Loss Rate, Check 3 (percent) -- The percentage of cows that abort their pregnancy between the 2nd and 3rd pregnancy checks",,0.017,0.1,0
animal_properties,animal_config_from_literature_avg_estrus_cycle_return,number,Average Estrous Cycle Return (days) -- Average days between calving and first estrous cycle after calving,,23,,1
animal_properties,animal_config_from_literature_std_estrus_cycle_return,number,Estrous Cycle Return Standard Deviation (days),,6,,1
animal_properties,animal_config_from_literature_avg_estrus_cycle_heifer,number,Heifer Estrous Cycle Length (days) -- Average length of estrous cycle for heifers,,21,,1
animal_properties,animal_config_from_literature_std_estrus_cycle_heifer,number,Heifer Estrous Cycle Length Standard Deviation (days),,2.5,,1
animal_properties,animal_config_from_literature_avg_estrus_cycle_cow,number,Cow Estrous Cycle Length (days) -- Average length of estrous cycle for cows,,21,,1
animal_properties,animal_config_from_literature_std_estrus_cycle_cow,number,Cow Estrous Cycle Length Standard Deviation (days),,4,,1
animal_properties,animal_config_from_literature_avg_estrus_cycle_after_pgf,number,Average Estrous Cycle days after PGF (days) -- Average days between the injection of PGF and the occurrence of estrus in the PGFatPD resynch protocol,,5,,1
animal_properties,animal_config_from_literature_std_estrus_cycle_after_pgf,number,Estrous Cycle days after PGF Standard Deviation (days) -- Standard deviation of days between the injection of PGF and the occurrence of estrus in the PGFatPD resynch protocol,,2,,1
animal_properties,animal_config_from_literature_cull_day_count,array,"Defines breakpoints that partition the cumulative distribution function (CDF) for culling probabilities into segments. These values correspond to the 'cull_day_prob' array, allowing for more accurate definition of the CDF.The numbers in the array represent days into the lactation (days in milk).",,,,
animal_properties,animal_config_from_literature_feet_leg_cull_probability,number,Conditional probability that a culled (sold) animal is removed due to feet-and-leg-related issues. This probability is used to determine the reason for culling after it has been decided that the animal will be culled during the current lactation. The sum of probabilities for the six  culling reasons equals 1.,,,1,0
animal_properties,animal_config_from_literature_feet_leg_cull_cull_day_prob,array,Cumulative distribution function (CDF) values associated with the likelihood of feet-and-leg-related culling over time. The 'cull_day_count' array defines the segments of the CDF.,,,,
animal_properties,animal_config_from_literature_injury_cull_probability,number,Conditional probability that a culled (sold) animal is removed due to injury-related issues. This probability is used to determine the reason for culling after it has been decided that the animal will be culled during the current lactation. The sum of probabilities for the six culling reasons equals 1.,,,1,0
animal_properties,animal_config_from_literature_injury_cull_cull_day_prob,array,Cumulative distribution function (CDF) values associated with the likelihood of injury-related culling over time. The 'cull_day_count' array defines the segments of the CDF.,,,,
animal_properties,animal_config_from_literature_mastitis_cull_probability,number,Conditional probability that a culled (sold) animal is removed due to mastitis-related issues. This probability is used to determine the reason for culling after it has been decided that the animal will be culled during the current lactation. The sum of probabilities for the six culling reasons equals 1.,,,1,0
animal_properties,animal_config_from_literature_mastitis_cull_cull_day_prob,array,Cumulative distribution function (CDF) values associated with the likelihood of mastitis-related culling over time. The 'cull_day_count' array defines the segments of the CDF.,,,,
animal_properties,animal_config_from_literature_disease_cull_probability,number,Conditional probability that a culled (sold) animal is removed due to general disease-related issues. This probability is used to determine the reason for culling after it has been decided that the animal will be culled during the current lactation. The sum of probabilities for the six culling reasons equals 1.,,,1,0
animal_properties,animal_config_from_literature_disease_cull_cull_day_prob,array,Cumulative distribution function (CDF) values associated with the likelihood of general disease-related culling over time. The 'cull_day_count' array defines the segments of the CDF.,,,,
animal_properties,animal_config_from_literature_udder_cull_probability,number,Conditional probability that a culled (sold) animal is removed due to udder-related issues. This probability is used to determine the reason for culling after it has been decided that the animal will be culled during the current lactation. The sum of probabilities for the six culling reasons equals 1.,,,1,0
animal_properties,animal_config_from_literature_udder_cull_cull_day_prob,array,Cumulative distribution function (CDF) values associated with the likelihood of udder-related culling over time. The 'cull_day_count' array defines the segments of the CDF.,,,,
animal_properties,animal_config_from_literature_unknown_cull_probability,number,Conditional probability that a culled (sold) animal is removed due to unknown reasons. This probability is used to determine the reason for culling after it has been decided that the animal will be culled during the current lactation. The sum of probabilities for the six culling reasons equals 1.,,,1,0
animal_properties,animal_config_from_literature_unknown_cull_cull_day_prob,array,Cumulative distribution function (CDF) values associated with the likelihood of culling for unknown reasons over time. The 'cull_day_count' array defines the segments of the CDF.,,,,
animal_properties,animal_config_from_literature_parity_death_prob,array,"Death Probability, by Parity",,,,
animal_properties,animal_config_from_literature_parity_cull_prob,array,"Cull Probability, by Parity",,,,
