DISCLAIMER,variable_name,usage_count
,AnimalModuleReporter.report_manure_streams.total_bedding_volume_dry_pen_CLOSE_UP_PEN_2,1
,AnimalModuleReporter.report_manure_streams.water_lac_parlor_PEN_3,1
,AnimalModuleReporter.report_manure_streams.ammoniacal_nitrogen_lac_parlor_PEN_3,1
,AnimalModuleReporter.report_manure_streams.nitrogen_lac_parlor_PEN_3,1
,AnimalModuleReporter.report_manure_streams.phosphorus_lac_parlor_PEN_3,1
,AnimalModuleReporter.report_manure_streams.potassium_lac_parlor_PEN_3,1
,AnimalModuleReporter.report_manure_streams.ash_lac_parlor_PEN_3,1
,AnimalModuleReporter.report_manure_streams.degradable_volatile_solids_lac_parlor_PEN_3,1
,AnimalModuleReporter.report_manure_streams.non_degradable_volatile_solids_lac_parlor_PEN_3,1
,AnimalModuleReporter.report_manure_streams.bedding_non_degradable_volatile_solids_lac_parlor_PEN_3,1
,AnimalModuleReporter.report_manure_streams.total_solids_lac_parlor_PEN_3,1
,AnimalModuleReporter.report_manure_streams.volume_lac_parlor_PEN_3,1
,AnimalModuleReporter.report_manure_streams.methane_production_potential_lac_parlor_PEN_3,1
,AnimalModuleReporter.report_manure_streams.total_volatile_solids_lac_parlor_PEN_3,1
,AnimalModuleReporter.report_manure_streams.mass_lac_parlor_PEN_3,1
,AnimalModuleReporter.report_manure_streams.total_bedding_mass_lac_parlor_PEN_3,1
,AnimalModuleReporter.report_manure_streams.total_bedding_volume_lac_parlor_PEN_3,1
,AnimalModuleReporter.report_manure_streams.water_lac_pen_LAC_COW_PEN_3,1
,AnimalModuleReporter.report_manure_streams.ammoniacal_nitrogen_lac_pen_LAC_COW_PEN_3,1
,AnimalModuleReporter.report_manure_streams.nitrogen_lac_pen_LAC_COW_PEN_3,1
,AnimalModuleReporter.report_manure_streams.phosphorus_lac_pen_LAC_COW_PEN_3,1
,AnimalModuleReporter.report_manure_streams.potassium_lac_pen_LAC_COW_PEN_3,1
,AnimalModuleReporter.report_manure_streams.ash_lac_pen_LAC_COW_PEN_3,1
,AnimalModuleReporter.report_manure_streams.degradable_volatile_solids_lac_pen_LAC_COW_PEN_3,1
,AnimalModuleReporter.report_manure_streams.non_degradable_volatile_solids_lac_pen_LAC_COW_PEN_3,1
,AnimalModuleReporter.report_manure_streams.bedding_non_degradable_volatile_solids_lac_pen_LAC_COW_PEN_3,1
,AnimalModuleReporter.report_manure_streams.total_solids_lac_pen_LAC_COW_PEN_3,1
,AnimalModuleReporter.report_manure_streams.volume_lac_pen_LAC_COW_PEN_3,1
,AnimalModuleReporter.report_manure_streams.methane_production_potential_lac_pen_LAC_COW_PEN_3,1
,AnimalModuleReporter.report_manure_streams.total_volatile_solids_lac_pen_LAC_COW_PEN_3,1
,AnimalModuleReporter.report_manure_streams.mass_lac_pen_LAC_COW_PEN_3,1
,AnimalModuleReporter.report_manure_streams.total_bedding_mass_lac_pen_LAC_COW_PEN_3,1
,AnimalModuleReporter.report_manure_streams.total_bedding_volume_lac_pen_LAC_COW_PEN_3,1
,EmissionsEstimator.calculate_purchased_feed_emissions.purchased_feed_emissions,1
,EmissionsEstimator.calculate_purchased_feed_emissions.land_use_change_emissions,1
,EmissionsEstimator._report_daily_farmgrown_feed_fed_emissions_and_resources.direct_n2o_nitrogen_emissions_for_feed_50,1
,EmissionsEstimator._report_daily_farmgrown_feed_fed_emissions_and_resources.ammonia_nitrogen_emissions_for_feed_50,1
,EmissionsEstimator._report_daily_farmgrown_feed_fed_emissions_and_resources.nitrogen_fertilizer_applied_for_feed_50,1
,EmissionsEstimator._report_daily_farmgrown_feed_fed_emissions_and_resources.phosphorus_fertilizer_applied_for_feed_50,1
