DISCLAIMER,variable_name,usage_count
,AnimalModuleReporter.report_herd_statistics_data.preg_cow_num,1
,AnimalModuleReporter.report_herd_statistics_data.milking_cow_num,1
,AnimalModuleReporter.report_herd_statistics_data.dry_cow_num,1
,AnimalModuleReporter.report_herd_statistics_data.avg_days_in_milk,1
,AnimalModuleReporter.report_herd_statistics_data.avg_days_in_preg,1
,AnimalModuleReporter.report_herd_statistics_data.avg_cow_body_weight,1
,AnimalModuleReporter.report_herd_statistics_data.avg_parity_num,1
,AnimalModuleReporter.report_herd_statistics_data.avg_calving_interval,1
,AnimalModuleReporter.report_herd_statistics_data.avg_breeding_to_preg_time,1
,AnimalModuleReporter.report_herd_statistics_data.avg_heifer_culling_age,1
,AnimalModuleReporter.report_herd_statistics_data.avg_cow_culling_age,1
,AnimalModuleReporter.report_herd_statistics_data.avg_mature_body_weight,1
,AnimalModuleReporter.report_herd_statistics_data.simulation_day,1
,AnimalModuleReporter.report_herd_statistics_data.num_cow_for_parity_1,1
,AnimalModuleReporter.report_herd_statistics_data.num_cow_for_parity_2,1
,AnimalModuleReporter.report_herd_statistics_data.num_cow_for_parity_3,1
,AnimalModuleReporter.report_herd_statistics_data.num_cow_for_parity_4,1
,AnimalModuleReporter.report_herd_statistics_data.num_cow_for_parity_5,1
,AnimalModuleReporter.report_herd_statistics_data.num_cow_for_parity_greater_than_5,1
,AnimalModuleReporter.report_herd_statistics_data.calving_to_preg_time_1,1
,AnimalModuleReporter.report_herd_statistics_data.calving_to_preg_time_2,1
,AnimalModuleReporter.report_herd_statistics_data.calving_to_preg_time_3,1
,AnimalModuleReporter.report_herd_statistics_data.calving_to_preg_time_4,1
,AnimalModuleReporter.report_herd_statistics_data.calving_to_preg_time_5,1
,AnimalModuleReporter.report_herd_statistics_data.calving_to_preg_time_greater_than_5,1
,AnimalModuleReporter.report_herd_statistics_data.avg_age_for_calving_1,1
,AnimalModuleReporter.report_herd_statistics_data.avg_age_for_calving_2,1
,AnimalModuleReporter.report_herd_statistics_data.avg_age_for_calving_3,1
,AnimalModuleReporter.report_herd_statistics_data.avg_age_for_calving_4,1
,AnimalModuleReporter.report_herd_statistics_data.avg_age_for_calving_5,1
,AnimalModuleReporter.report_herd_statistics_data.avg_age_for_calving_greater_than_5,1
,AnimalModuleReporter.report_herd_statistics_data.cull_reason_stats,1
,AnimalModuleReporter.report_manure_excretions.CALF_PEN_0_urea,1
,AnimalModuleReporter.report_manure_excretions.CALF_PEN_0_urine,1
,AnimalModuleReporter.report_manure_excretions.CALF_PEN_0_manure_total_ammoniacal_nitrogen,1
,AnimalModuleReporter.report_manure_excretions.CALF_PEN_0_urine_nitrogen,1
,AnimalModuleReporter.report_manure_excretions.CALF_PEN_0_manure_nitrogen,1
,AnimalModuleReporter.report_manure_excretions.CALF_PEN_0_manure_mass,1
,AnimalModuleReporter.report_manure_excretions.CALF_PEN_0_total_solids,1
,AnimalModuleReporter.report_manure_excretions.CALF_PEN_0_degradable_volatile_solids,1
,AnimalModuleReporter.report_manure_excretions.CALF_PEN_0_non_degradable_volatile_solids,1
,AnimalModuleReporter.report_manure_excretions.CALF_PEN_0_inorganic_phosphorus_fraction,1
,AnimalModuleReporter.report_manure_excretions.CALF_PEN_0_organic_phosphorus_fraction,1
,AnimalModuleReporter.report_manure_excretions.CALF_PEN_0_non_water_inorganic_phosphorus_fraction,1
,AnimalModuleReporter.report_manure_excretions.CALF_PEN_0_non_water_organic_phosphorus_fraction,1
,AnimalModuleReporter.report_manure_excretions.CALF_PEN_0_phosphorus,1
,AnimalModuleReporter.report_manure_excretions.CALF_PEN_0_phosphorus_fraction,1
,AnimalModuleReporter.report_manure_excretions.CALF_PEN_0_potassium,1
,AnimalModuleReporter.report_manure_excretions.GROWING_PEN_1_urea,1
,AnimalModuleReporter.report_manure_excretions.GROWING_PEN_1_urine,1
,AnimalModuleReporter.report_manure_excretions.GROWING_PEN_1_manure_total_ammoniacal_nitrogen,1
,AnimalModuleReporter.report_manure_excretions.GROWING_PEN_1_urine_nitrogen,1
,AnimalModuleReporter.report_manure_excretions.GROWING_PEN_1_manure_nitrogen,1
,AnimalModuleReporter.report_manure_excretions.GROWING_PEN_1_manure_mass,1
,AnimalModuleReporter.report_manure_excretions.GROWING_PEN_1_total_solids,1
,AnimalModuleReporter.report_manure_excretions.GROWING_PEN_1_degradable_volatile_solids,1
,AnimalModuleReporter.report_manure_excretions.GROWING_PEN_1_non_degradable_volatile_solids,1
,AnimalModuleReporter.report_manure_excretions.GROWING_PEN_1_inorganic_phosphorus_fraction,1
,AnimalModuleReporter.report_manure_excretions.GROWING_PEN_1_organic_phosphorus_fraction,1
,AnimalModuleReporter.report_manure_excretions.GROWING_PEN_1_non_water_inorganic_phosphorus_fraction,1
,AnimalModuleReporter.report_manure_excretions.GROWING_PEN_1_non_water_organic_phosphorus_fraction,1
,AnimalModuleReporter.report_manure_excretions.GROWING_PEN_1_phosphorus,1
,AnimalModuleReporter.report_manure_excretions.GROWING_PEN_1_phosphorus_fraction,1
,AnimalModuleReporter.report_manure_excretions.GROWING_PEN_1_potassium,1
,AnimalModuleReporter.report_manure_excretions.CLOSE_UP_PEN_2_urea,1
,AnimalModuleReporter.report_manure_excretions.CLOSE_UP_PEN_2_urine,1
,AnimalModuleReporter.report_manure_excretions.CLOSE_UP_PEN_2_manure_total_ammoniacal_nitrogen,1
,AnimalModuleReporter.report_manure_excretions.CLOSE_UP_PEN_2_urine_nitrogen,1
,AnimalModuleReporter.report_manure_excretions.CLOSE_UP_PEN_2_manure_nitrogen,1
,AnimalModuleReporter.report_manure_excretions.CLOSE_UP_PEN_2_manure_mass,1
,AnimalModuleReporter.report_manure_excretions.CLOSE_UP_PEN_2_total_solids,1
,AnimalModuleReporter.report_manure_excretions.CLOSE_UP_PEN_2_degradable_volatile_solids,1
,AnimalModuleReporter.report_manure_excretions.CLOSE_UP_PEN_2_non_degradable_volatile_solids,1
,AnimalModuleReporter.report_manure_excretions.CLOSE_UP_PEN_2_inorganic_phosphorus_fraction,1
,AnimalModuleReporter.report_manure_excretions.CLOSE_UP_PEN_2_organic_phosphorus_fraction,1
,AnimalModuleReporter.report_manure_excretions.CLOSE_UP_PEN_2_non_water_inorganic_phosphorus_fraction,1
,AnimalModuleReporter.report_manure_excretions.CLOSE_UP_PEN_2_non_water_organic_phosphorus_fraction,1
,AnimalModuleReporter.report_manure_excretions.CLOSE_UP_PEN_2_phosphorus,1
,AnimalModuleReporter.report_manure_excretions.CLOSE_UP_PEN_2_phosphorus_fraction,1
,AnimalModuleReporter.report_manure_excretions.CLOSE_UP_PEN_2_potassium,1
,AnimalModuleReporter.report_manure_excretions.LAC_COW_PEN_3_urea,1
,AnimalModuleReporter.report_manure_excretions.LAC_COW_PEN_3_urine,1
,AnimalModuleReporter.report_manure_excretions.LAC_COW_PEN_3_manure_total_ammoniacal_nitrogen,1
,AnimalModuleReporter.report_manure_excretions.LAC_COW_PEN_3_urine_nitrogen,1
,AnimalModuleReporter.report_manure_excretions.LAC_COW_PEN_3_manure_nitrogen,1
,AnimalModuleReporter.report_manure_excretions.LAC_COW_PEN_3_manure_mass,1
,AnimalModuleReporter.report_manure_excretions.LAC_COW_PEN_3_total_solids,1
,AnimalModuleReporter.report_manure_excretions.LAC_COW_PEN_3_degradable_volatile_solids,1
,AnimalModuleReporter.report_manure_excretions.LAC_COW_PEN_3_non_degradable_volatile_solids,1
,AnimalModuleReporter.report_manure_excretions.LAC_COW_PEN_3_inorganic_phosphorus_fraction,1
